id,text,label,prediction
9,"В связи с этим в подпрограмму включены следующие мероприятия, в том числе определенные Федеральной целевой программой развития образования:",0,1
78,Мигрантов будут обучать русскому языку прямо на стройках.,0,1
149,"Присутствовали (из авторов): Лихайчев, Петруччи и Мазуркевич, а еще — художник Риццио Лагори.",1,0
154,Ограничения в развитии связаны с недостаточным финансированием библиотек.,0,1
167,В настоящее время злоумышленника разыскивает полиция.,0,1
168,"Он быстро собрал преподавательский состав школы и передал им новость о том, что он едет в Америку.",0,1
218,Сразу несколько человек заявили на нее в милицию.,0,1
297,противовоспалительное действие играет важную роль в механизме действия простаглананов.,1,0
311,После суда Майкл Джексон уединился от журналистов в Бахрейне и приступил к подготовке записи благотворительного сингла памяти жертв урагана «Катрина».,0,1
329,В 1881 году почти не осталось следа уже от завода.,1,0
336,В то время я знал Python.,0,1
427,"Муссолини - юрист: как можно защищать права меньших, как могут защищать права подобным образом.",1,0
473,Большинство мест перестали использовать свинец для питьевой воды после Второй мировой войны из-за опасности отравления свинцом.,0,1
522,В Москве завершилась встреча Путина с Керри.,0,1
585,"У меня нет времени, чтобы смотреть телевизор.",0,1
638,этапе реализации программы важным моментом является широкая демонстрация Программы на этапе реализации и широкое размещение по мере завершения программных проектов.,1,0
666,Будь возле меня друг - пусть будет всегда начеку.,1,0
686,"Комета, вращающаяся вокруг пульсара?«»",1,0
706,Правдивая ложь новости колл-центр это что один из лучших за последнее время выпусков.,1,0
769,"Конституционный суд Германии отклонил иск с требованием пересмотреть соглашение о свободной торговле между Евросоюзом и Канадой, которое истцы называли недемократическим. Заявители иска выступали против планов ввести некоторые параметры договора в действие еще до одобрения национальных парламентов всех стран-членов Евросоюза.",1,0
862,В противном случае мы получим под свой контроль полностью разорённое государство.,0,1
872,"Если сознание **отражает** мир, то мы знаем его **отражение**, и вопрос о том, как соотносится отражаемое к отраженному остается открытым. Даже аналогия с зеркалом показывает, что отраженное обладает некоторыми отличными от отражаемого свойствами («левизна» и «правизна»).",0,1
918,"мне скоро надоело жить, а я Ирка Юркина удочкой ловила язей.",1,0
1095,Я пользуюсь им каждый день.,0,1
1201,"Что представляет собой качественное и количественного улучшение организаций, занятых в сопутствующей туризму сфере обслуживания (общественное питание, гостиницы, торговля и прочее)",1,0
1208,"Министр внутренних дел Украины Арсен Аваков заявил, что посол Японии передал полиции Украины зимние комплекты формы для участковых. По его словам, в 2017 году Украина закупит в Японии автомобили марок Toyota Prius и Mitsubishi Outlander для нужды полиции.",1,0
1220,"Специалисты Департамента экономического развития собираются принять участие в тендере, объявленном Минэкономразвития по новой программе ""Электронная Россия"".",0,1
1238,Когда массовое прибытие раненых прекратилось (до 11-12.12.) и хирургическая активность снизилась (до 15-17.12.Терапевты все еще работают.,1,0
1292,"Запись с переломом руки к травматологу через 2,5 недели.",1,0
1296,"котельной АО «Курганхиммаш» – 47,6 Гкал/ч;",1,0
1362,"SPb., 2002; и mn. d. (2002, ред.",1,0
1390,"Исследования показали, что регулярное употребление вареного кофе повышает уровень холестерина на 8% у мужчин и на 10% у женщин.",1,0
1416,", но милиция задержала 20 человека, пришедшего поддержать Михаила Саакашвили и Плато Грызунова, которым сегодня, 27 марта, начали читать приговор.",1,0
1454,В 2018 году компания заключила соглашение с Apple и создала мобильное приложение для доставки еды и товаров со складов.,0,1
1491,Оставайтесь на своих местах и не вставайте.,0,1
1552,"В 1845 году на Науру проживали только два европейцев, включая Уильяма Харриса, которые прибыли на остров в 1842 году.",1,0
1721,В Крыму ответили на слова Эрдогана о непризнании полуострова частью России.,0,1
1755,Что такое правово регулирование в сфере реализации,1,0
1776,"Заставьте публику поверить, что это действительно случилось: в этом все и ничего другого не нужно.",0,1
