id,text,label,prediction
9,"В связи с этим в подпрограмму включены следующие мероприятия, в том числе определенные Федеральной целевой программой развития образования:",0,1
78,Мигрантов будут обучать русскому языку прямо на стройках.,0,1
154,Ограничения в развитии связаны с недостаточным финансированием библиотек.,0,1
167,В настоящее время злоумышленника разыскивает полиция.,0,1
168,"Он быстро собрал преподавательский состав школы и передал им новость о том, что он едет в Америку.",0,1
218,Сразу несколько человек заявили на нее в милицию.,0,1
311,После суда Майкл Джексон уединился от журналистов в Бахрейне и приступил к подготовке записи благотворительного сингла памяти жертв урагана «Катрина».,0,1
336,В то время я знал Python.,0,1
473,Большинство мест перестали использовать свинец для питьевой воды после Второй мировой войны из-за опасности отравления свинцом.,0,1
522,В Москве завершилась встреча Путина с Керри.,0,1
585,"У меня нет времени, чтобы смотреть телевизор.",0,1
862,В противном случае мы получим под свой контроль полностью разорённое государство.,0,1
872,"Если сознание **отражает** мир, то мы знаем его **отражение**, и вопрос о том, как соотносится отражаемое к отраженному остается открытым. Даже аналогия с зеркалом показывает, что отраженное обладает некоторыми отличными от отражаемого свойствами («левизна» и «правизна»).",0,1
1095,Я пользуюсь им каждый день.,0,1
1220,"Специалисты Департамента экономического развития собираются принять участие в тендере, объявленном Минэкономразвития по новой программе ""Электронная Россия"".",0,1
1454,В 2018 году компания заключила соглашение с Apple и создала мобильное приложение для доставки еды и товаров со складов.,0,1
1491,Оставайтесь на своих местах и не вставайте.,0,1
1721,В Крыму ответили на слова Эрдогана о непризнании полуострова частью России.,0,1
1776,"Заставьте публику поверить, что это действительно случилось: в этом все и ничего другого не нужно.",0,1
1778,"Древнеегипетский писец — это человек, специально обученный искусству письма на языке иероглифов, а также иератическому и, начиная со второй половины первого тысячелетия, демотическому письму, а также арифметике. Писцами почти всегда были мужчины, принадлежащие той части общества, которую сейчас мы бы назвали зажиточным средним классом. Основой их деятельности была бюрократия при дворе фараонов, ведение дел в армии и храмах. Работа писцов передавалась по наследству, сыновья изначально воспитывались с расчетом на то, что после нескольких лет обучения в школах займут место отца.",0,1
2016,Обезьяны могут выучить много фокусов.,0,1
2034,"Петр однажды в Саардаме оттолкнул мальчика, который бросил в него гнилым яблоком, что Петр перенес терпеливо.",0,1
2067,Перемещения членов группы во время гастролей в городах проходили под усиленной охраной или в бронированном автомобиле.,0,1
2071,"Члены AZMU помогли создать шесть больниц в Палестине, которые были переданы затем муниципальным властям.",0,1
2074,Однажды твоя мечта станет реальностью.,0,1
2177,"В основе лежит идея о том, что наш мозг может обрабатывать зрительную информацию в 80 000 раз быстрее, чем текстовую.",0,1
2260,Часы Джеймса Монро являются одним из подлинных экспонатов Белого дома.,0,1
2303,"В России общественный цинизм может рассматриваться как реакция на идеологические утопии и иллюзии, связанные с изменениям властных отношений, с идеей правовой, поддерживающейся без насилия и злоупотребления организацией коллективного существования. Для российского цинизма, как реакции на расхождение между надеждами на государство и неудовлетворённостью результатами его деятельности характерны: нигилистические оценки действий властей и государственных институтов, влиятельных в обществе групп; упреждающая враждебность к любым авторитетным фигурам; неверие в благие мотивы людей в целом, негативное отношение к массовому энтузиазму в общественной и политической сфере. При этом цинизм свойственен самым разным группам общества, включая сюда и властные группы.",0,1
2372,"Название «Fiesta» принадлежало General Motors в то время, но было безвозмездно отдано для Ford.",0,1
2412,"Его первая жена, от которой у него есть двое детей, трагически погибла в Лондоне в 70-х.",0,1
2545,"Тихонов начал с введения двухразовых тренировок и дополнительных упражнений, а в игровом плане начал осваивать с командой переход на игры в четыре звена.",0,1
2571,"Его истинная судьба будет показана после того, как он получает три метки на подошвах ног.",0,1
2598,В фартуке мастерового появляется на сцене Кулигин.,0,1
2695,"Подобное чувство эмоциональной зависимости может существовать и между взрослыми людьми (муж и жена, начальник и подчинённый).",0,1
2736,"Рева: ""Меня не так поняли, все украинцы не обязаны платить алименты родителям"".",0,1
2749,Правила лотереи опубликованы на сайте правительства Москвы.,0,1
