id,text,label,prediction
149,"Присутствовали (из авторов): Лихайчев, Петруччи и Мазуркевич, а еще — художник Риццио Лагори.",1,0
297,противовоспалительное действие играет важную роль в механизме действия простаглананов.,1,0
329,В 1881 году почти не осталось следа уже от завода.,1,0
427,"Муссолини - юрист: как можно защищать права меньших, как могут защищать права подобным образом.",1,0
638,этапе реализации программы важным моментом является широкая демонстрация Программы на этапе реализации и широкое размещение по мере завершения программных проектов.,1,0
666,Будь возле меня друг - пусть будет всегда начеку.,1,0
686,"Комета, вращающаяся вокруг пульсара?«»",1,0
706,Правдивая ложь новости колл-центр это что один из лучших за последнее время выпусков.,1,0
769,"Конституционный суд Германии отклонил иск с требованием пересмотреть соглашение о свободной торговле между Евросоюзом и Канадой, которое истцы называли недемократическим. Заявители иска выступали против планов ввести некоторые параметры договора в действие еще до одобрения национальных парламентов всех стран-членов Евросоюза.",1,0
918,"мне скоро надоело жить, а я Ирка Юркина удочкой ловила язей.",1,0
1201,"Что представляет собой качественное и количественного улучшение организаций, занятых в сопутствующей туризму сфере обслуживания (общественное питание, гостиницы, торговля и прочее)",1,0
1208,"Министр внутренних дел Украины Арсен Аваков заявил, что посол Японии передал полиции Украины зимние комплекты формы для участковых. По его словам, в 2017 году Украина закупит в Японии автомобили марок Toyota Prius и Mitsubishi Outlander для нужды полиции.",1,0
1238,Когда массовое прибытие раненых прекратилось (до 11-12.12.) и хирургическая активность снизилась (до 15-17.12.Терапевты все еще работают.,1,0
1292,"Запись с переломом руки к травматологу через 2,5 недели.",1,0
1296,"котельной АО «Курганхиммаш» – 47,6 Гкал/ч;",1,0
1362,"SPb., 2002; и mn. d. (2002, ред.",1,0
1390,"Исследования показали, что регулярное употребление вареного кофе повышает уровень холестерина на 8% у мужчин и на 10% у женщин.",1,0
1416,", но милиция задержала 20 человека, пришедшего поддержать Михаила Саакашвили и Плато Грызунова, которым сегодня, 27 марта, начали читать приговор.",1,0
1552,"В 1845 году на Науру проживали только два европейцев, включая Уильяма Харриса, которые прибыли на остров в 1842 году.",1,0
1755,Что такое правово регулирование в сфере реализации,1,0
1796,"Максимилиано и польский король сделали его рыцарем и благородным в 1515 году, присвоив ему звание ""первый орган императора.""",1,0
1836,"Руководитель программы несет ответственность за реализацию и конечные результаты деятельности программы, за рациональное использование выделенных регионом средств.",1,0
1842,"Рост доходов домашних хозяйств также способствует увеличению налогов, что способствует проведению многочисленных реформ, которые проводятся в течение отчетного периода.",1,0
1855,Бодрые Патроклы снова умирают.,1,0
